experiment,geometry,target,feature,mutual_info,n_samples
TOFU_idk,base,Extraction,local_density_min,0.0034917278823964892,100
TOFU_idk,base,Extraction,separability_mean,0.03006668384817557,100
TOFU_idk,base,Extraction,separability_std,0.0,100
TOFU_idk,base,Extraction,separability_max,0.015412020834593587,100
TOFU_idk,base,Extraction,separability_min,0.0980690618155311,100
TOFU_idk,base,Extraction,centrality_mean,0.16976516613660841,100
TOFU_idk,base,Extraction,centrality_std,0.06890297911196619,100
TOFU_idk,base,Extraction,centrality_max,0.0,100
TOFU_idk,base,Extraction,centrality_min,0.0,100
TOFU_idk,base,Extraction,isolation_mean,0.0,100
TOFU_idk,base,Extraction,isolation_std,0.0,100
TOFU_idk,base,Extraction,isolation_max,0.0,100
TOFU_idk,base,Extraction,isolation_min,0.03532334517003766,100
TOFU_idk,base,Extraction,cluster_compactness_mean,0.005615592846250017,100
TOFU_idk,base,Extraction,cluster_compactness_std,0.0,100
TOFU_idk,base,Extraction,cluster_compactness_max,0.045562515468681175,100
TOFU_idk,base,Extraction,cluster_compactness_min,0.023206791225062418,100
TOFU_idk,base,Extraction,cross_layer_consistency_mean,0.027936479098220612,100
TOFU_idk,base,Extraction,cross_layer_consistency_std,0.0,100
TOFU_idk,base,Extraction,cross_layer_consistency_max,0.03052314183348992,100
TOFU_idk,base,Extraction,cross_layer_consistency_min,0.028909705433288746,100
TOFU_idk,unlearned,Unlearning,local_density_mean,0.07457297234889149,100
TOFU_idk,unlearned,Unlearning,local_density_std,0.013848997382055916,100
TOFU_idk,unlearned,Unlearning,local_density_max,0.0826961538272637,100
TOFU_idk,unlearned,Unlearning,local_density_min,0.0,100
TOFU_idk,unlearned,Unlearning,separability_mean,0.15038908951936047,100
TOFU_idk,unlearned,Unlearning,separability_std,0.2238194248012073,100
TOFU_idk,unlearned,Unlearning,separability_max,0.09740548757806788,100
TOFU_idk,unlearned,Unlearning,separability_min,0.0,100
TOFU_idk,unlearned,Unlearning,centrality_mean,0.1275593001734734,100
TOFU_idk,unlearned,Unlearning,centrality_std,0.17572418984132687,100
TOFU_idk,unlearned,Unlearning,centrality_max,0.05690042941316964,100
TOFU_idk,unlearned,Unlearning,centrality_min,0.14418466263135743,100
TOFU_idk,unlearned,Unlearning,isolation_mean,0.0,100
TOFU_idk,unlearned,Unlearning,isolation_std,0.0,100
TOFU_idk,unlearned,Unlearning,isolation_max,0.0,100
TOFU_idk,unlearned,Unlearning,isolation_min,0.0,100
TOFU_idk,unlearned,Unlearning,cluster_compactness_mean,0.016167604459564888,100
TOFU_idk,unlearned,Unlearning,cluster_compactness_std,0.009163528729212667,100
TOFU_idk,unlearned,Unlearning,cluster_compactness_max,0.0,100
TOFU_idk,unlearned,Unlearning,cluster_compactness_min,0.007872445736768374,100
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_mean,0.0,100
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_std,0.0,100
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_max,0.0,100
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_min,0.0,100
TOFU_idk,unlearned,Extraction,local_density_mean,0.027830336052959037,100
TOFU_idk,unlearned,Extraction,local_density_std,0.0,100
TOFU_idk,unlearned,Extraction,local_density_max,0.06812859627178591,100
TOFU_idk,unlearned,Extraction,local_density_min,0.027616067259284005,100
TOFU_idk,unlearned,Extraction,separability_mean,0.058784282924823295,100
TOFU_idk,unlearned,Extraction,separability_std,0.0,100
TOFU_idk,unlearned,Extraction,separability_max,0.034554777660579905,100
TOFU_idk,unlearned,Extraction,separability_min,0.0,100
TOFU_idk,unlearned,Extraction,centrality_mean,0.05825401159951005,100
TOFU_idk,unlearned,Extraction,centrality_std,0.0,100
TOFU_idk,unlearned,Extraction,centrality_max,0.0,100
TOFU_idk,unlearned,Extraction,centrality_min,0.034616121124829036,100
TOFU_idk,unlearned,Extraction,isolation_mean,0.0,100
TOFU_idk,unlearned,Extraction,isolation_std,0.0,100
TOFU_idk,unlearned,Extraction,isolation_max,0.0,100
TOFU_idk,unlearned,Extraction,isolation_min,0.03532334517003766,100
TOFU_idk,unlearned,Extraction,cluster_compactness_mean,0.005615592846250017,100
TOFU_idk,unlearned,Extraction,cluster_compactness_std,0.0,100
TOFU_idk,unlearned,Extraction,cluster_compactness_max,0.045562515468681175,100
TOFU_idk,unlearned,Extraction,cluster_compactness_min,0.023206791225062418,100
TOFU_idk,unlearned,Extraction,cross_layer_consistency_mean,0.046928894412213484,100
TOFU_idk,unlearned,Extraction,cross_layer_consistency_std,0.0,100
TOFU_idk,unlearned,Extraction,cross_layer_consistency_max,0.044328847494442325,100
TOFU_idk,unlearned,Extraction,cross_layer_consistency_min,0.041776644915924255,100
